Experiment_name,Group_Protein,Experiment,Replicate,Experiment_Group
Hua_1_N2102ep_Orf2_1,ORF2,N2102EP,1,ORF2_IP
Hua_2_N2102Ep_Orf2_2,ORF2,N2102EP,2,ORF2_IP
Hua_3_N2102Ep_Orf2_3,ORF2,N2102EP,3,ORF2_IP
Hua_4_N2102Ep_Orf2_4,ORF2,N2102EP,4,ORF2_IP
Hua_5_N2102ep_IgG_1,IgG,N2102EP,1,IgG_IP
Hua_6_N2102Ep_IgG_2,IgG,N2102EP,2,IgG_IP
Hua_7_N2102Ep_IgG_3,IgG,N2102EP,3,IgG_IP
Hua_8_N2102Ep_IgG_4,IgG,N2102EP,4,IgG_IP
anti.ORF2p.IP_1,ORF2,N2102EP,5,ORF2_IP
anti.ORF2p.IP_2,ORF2,N2102EP,6,ORF2_IP
anti.ORF2p.IP_3,ORF2,N2102EP,7,ORF2_IP
anti.rIgG.IP_1,IgG,N2102EP,5,IgG_IP
anti.rIgG.IP_2,IgG,N2102EP,6,IgG_IP
anti.rIgG.IP_3,IgG,N2102EP,7,IgG_IP
